title	year	avg_rating	#votes	genres	runtime_min	id
White Hell of Pitz Palu	1929	7.2	837	Action,Adventure,Drama	150	0020570
Welcome Danger	1929	6.0	655	Comedy	113	0020572
Why Be Good?	1929	7.2	285	Comedy,Drama,Romance	84	0020585
Wild Orchids	1929	6.6	544	Drama,Romance	100	0020589
The Younger Generation	1929	6.4	234	Drama	75	0020613
Abraham Lincoln	1930	5.7	1244	Biography,Drama,History	96	0020620
All Quiet on the Western Front	1930	8.0	54713	Drama,War	136	0020629
Animal Crackers	1930	7.6	12594	Comedy,Musical	97	0020640
Anna Christie	1930	6.7	2598	Drama,Romance	89	0020641
Anna Christie	1930	7.0	737	Drama	85	0020642
Au bonheur des dames	1930	7.2	370	Drama,Romance	85	0020656
The Bat Whispers	1930	6.4	785	Comedy,Crime,Drama	83	0020668
The Big House	1930	7.1	1700	Crime,Drama,Thriller	87	0020686
The Big Pond	1930	5.9	198	Comedy,Musical,Romance	72	0020690
The Big Trail	1930	7.2	3163	Adventure,Romance,Western	125	0020691
Billy the Kid	1930	6.0	328	Action,Biography,Drama	98	0020693
The Blue Angel	1930	7.7	12853	Drama,Music	104	0020697
Call of the Flesh	1930	5.5	102	Musical,Romance	100	0020724
City Girl	1930	7.8	2687	Drama,Romance	77	0020768
Escape from Dartmoor	1929	7.6	958	Crime,Drama	88	0020793
The Cuckoos	1930	6.1	203	Comedy,Musical	97	0020799
Danger Lights	1930	6.1	451	Adventure,Drama	74	0020806
The Dawn Patrol	1930	7.2	1541	Action,Drama,War	108	0020815
The Devil to Pay!	1930	6.6	469	Comedy,Romance	72	0020821
The Divorcee	1930	6.8	2541	Drama,Romance	84	0020827
Dixiana	1930	5.3	304	Comedy,Drama,Music	100	0020828
The Doorway to Hell	1930	6.5	900	Crime,Drama	78	0020836
Three from the Filling Station	1930	6.6	717	Comedy,Musical,Romance	99	0020842
Fast and Loose	1930	6.3	102	Comedy,Romance	70	0020873
Feet First	1930	6.7	907	Comedy	93	0020876
The Florodora Girl	1930	6.0	1217	Drama,Musical,Romance	79	0020891
Follow Thru	1930	6.5	189	Comedy,Musical,Romance	92	0020894
The Girl Said No	1930	5.3	803	Comedy,Romance	93	0020919
Half Shot at Sunrise	1930	6.1	287	Comedy,Musical	78	0020945
Hell's Angels	1930	7.4	4574	Drama,War	127	0020960
Her Man	1930	6.5	205	Crime,Drama,Romance	85	0020966
Holiday	1930	6.5	278	Comedy,Drama	91	0020985
Hook Line and Sinker	1930	6.1	282	Comedy,Romance	75	0020987
Journey's End	1930	6.8	197	Drama,War	120	0021013
Juno and the Paycock	1930	4.8	1938	Comedy,Drama	85	0021015
Just Imagine	1930	5.4	608	Comedy,Fantasy,Musical	113	0021016
King of Jazz	1930	6.8	959	Animation,Comedy,Music	99	0021025
Ladies of Leisure	1930	6.7	999	Drama,Romance	99	0021040
Laughter	1930	6.5	262	Comedy,Romance	85	0021053
Let Us Be Gay	1930	6.5	408	Comedy,Drama	79	0021060
Liliom	1930	6.7	382	Drama	94	0021074
Little Caesar	1931	7.3	11184	Action,Crime,Drama	79	0021079
Lord Byron of Broadway	1930	5.5	117	Drama,Musical,Romance	80	0021090
Madam Satan	1930	6.6	742	Comedy,Musical,Romance	116	0021106
Men Without Women	1930	5.7	207	Action,Drama	77	0021140
Moby Dick	1930	5.7	330	Adventure,Drama	80	0021149
Monte Carlo	1930	6.8	1065	Comedy,Musical,Romance	90	0021153
Morocco	1930	7.1	5164	Drama,Romance	92	0021156
Murder!	1930	6.4	5272	Crime,Mystery,Thriller	104	0021165
Our Blushing Brides	1930	6.2	540	Drama	102	0021223
Outward Bound	1930	6.7	438	Drama,Fantasy	83	0021225
Paid	1930	6.3	561	Drama,Film-Noir	86	0021228
Paramount on Parade	1930	5.9	234	Music	102	0021232
Beauty Prize	1930	6.9	491	Drama	93	0021273
Queen High	1930	6.6	67	Comedy,Musical	85	0021279
Raffles	1930	6.5	691	Adventure,Crime,Drama	72	0021281
Reaching for the Moon	1930	5.6	323	Comedy,Romance	91	0021287
Romance	1930	5.9	643	Drama,Romance	76	0021310
The Royal Family of Broadway	1930	6.4	275	Comedy	82	0021322
The Sins of the Children	1930	6.2	178	Drama	87	0021382
Son of the Gods	1930	6.0	145	Drama,Romance	93	0021400
Under the Roofs of Paris	1930	7.1	1880	Comedy,Drama,Musical	96	0021409
They Learned About Women	1930	5.7	187	Drama,Musical	95	0021464
Tom Sawyer	1930	6.2	150	Adventure,Comedy,Drama	86	0021483
The Unholy Three	1930	6.8	981	Crime,Drama,Romance	72	0021505
Up the River	1930	6.0	971	Comedy,Crime,Drama	92	0021508
Westfront 1918	1930	7.4	1454	Drama,Romance,War	97	0021542
Whoopee!	1930	6.3	915	Comedy,Musical,Romance	93	0021549
Young Man of Manhattan	1930	6.4	112	Comedy,Musical,Romance	79	0021568
Earth	1930	7.3	4492	Drama	75	0021571
An American Tragedy	1931	6.5	564	Crime,Drama,Romance	96	0021607
Arrowsmith	1931	6.2	1376	Drama	108	0021622
Bachelor Apartment	1931	6.2	332	Comedy,Drama,Romance	76	0021632
The Bachelor Father	1931	6.5	1029	Comedy,Drama,Romance	90	0021633
Bad Girl	1931	6.5	991	Drama,Romance	90	0021635
